shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,463.7096729917894,238.9,0.7276911124440355
gravity,1.0,1702.8811551238427,519.8,0.0
gravity,1.5,869.6783883723356,286.3,0.48929002722501336
gravity,2.0,477.32616502944995,183.9,0.7196949630963906
obs_noise,0.0,1702.8811551238427,519.8,0.0
obs_noise,0.01,1570.7109951425268,483.3,0.07761561021661773
obs_noise,0.1,950.4068651737707,311.5,0.4418830331676012
obs_noise,0.3,238.04630625896215,107.5,0.8602096772621515
friction,0.5,684.6898258576832,231.5,0.5979227183309285
friction,1.0,1702.8811551238427,519.8,0.0
friction,1.5,398.5290736242905,156.3,0.7659677703137732
friction,2.0,305.6005149979419,131.6,0.8205391409268857
reward_perturb,0.0,1702.8811551238427,519.8,0.0
reward_perturb,0.1,1701.820953008626,519.8,0.0006225931340109414
reward_perturb,0.5,1701.0272874804323,519.8,0.0010886653116292451
reward_perturb,1.0,1707.160722469393,519.8,-0.00251313330508907
