shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,442.36242212970745,217.7,0.6996907266292118
gravity,1.0,1473.0228512908025,455.6,0.0
gravity,1.5,865.0489524297489,272.4,0.4127389458542949
gravity,2.0,388.3648667565311,161.9,0.7363483761190744
obs_noise,0.0,1473.0228512908025,455.6,0.0
obs_noise,0.01,1453.6339560593656,453.1,0.013162657466207331
obs_noise,0.1,1105.2581678538259,356.7,0.24966665188846615
obs_noise,0.3,225.74612673130508,117.1,0.8467463511964631
friction,0.5,685.079349647642,233.5,0.5349160068716446
friction,1.0,1473.0228512908025,455.6,0.0
friction,1.5,400.75587182314064,155.6,0.7279364189958354
friction,2.0,305.0866563648712,131.3,0.792883962324464
reward_perturb,0.0,1473.0228512908025,455.6,0.0
reward_perturb,0.1,1473.0401137283616,455.6,-1.1719056187067491e-05
reward_perturb,0.5,1476.0126435518664,455.6,-0.0020296984927586155
reward_perturb,1.0,1469.542611532284,455.6,0.0023626515742568746
