shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,2158.785228806343,823.7,0.4036027710762322
gravity,1.0,3619.710360998813,976.3,0.0
gravity,1.5,673.2709396892621,214.5,0.8139986704617214
gravity,2.0,355.6101840623808,131.8,0.9017572820483197
obs_noise,0.0,3619.710360998813,976.3,0.0
obs_noise,0.01,3214.0223300187236,875.3,0.11207748425157008
obs_noise,0.1,2677.664312933671,767.0,0.2602545381021028
obs_noise,0.3,319.4967909184799,157.1,0.911734155759822
friction,0.5,3315.3207439316066,926.0,0.08409225786319932
friction,1.0,3619.710360998813,976.3,0.0
friction,1.5,3465.865573443981,956.0,0.04250196071278497
friction,2.0,2443.4035157244366,783.7,0.3249726436536733
reward_perturb,0.0,3619.710360998813,976.3,0.0
reward_perturb,0.1,3621.3009900615057,976.3,-0.0004394354531321473
reward_perturb,0.5,3619.732174427445,976.3,-6.026291182573816e-06
reward_perturb,1.0,3630.3727891386575,976.3,-0.0029456578224403263
