shift_type,shift_level,raw_return,episode_length,robustness_drop
gravity,0.5,4669.966241282182,1000.0,0.14830158493735185
gravity,1.0,5483.121911103562,1000.0,0.0
gravity,1.5,4532.079649142997,1000.0,0.173449045521797
gravity,2.0,2785.987769487609,1000.0,0.49189753307402084
obs_noise,0.0,5483.121911103562,1000.0,0.0
obs_noise,0.01,5532.499175683809,1000.0,-0.009005319484189516
obs_noise,0.1,3398.024059664452,1000.0,0.380275668723815
obs_noise,0.3,1090.4669796008302,1000.0,0.8011229738677547
friction,0.5,5413.606186341578,1000.0,0.012678128607939801
friction,1.0,5483.121911103562,1000.0,0.0
friction,1.5,5571.889133822753,1000.0,-0.016189175465793314
friction,2.0,5627.464533572555,1000.0,-0.02632489753268
reward_perturb,0.0,5483.121911103562,1000.0,0.0
reward_perturb,0.1,5483.377498504914,1000.0,-4.6613481424662575e-05
reward_perturb,0.5,5487.642600816578,1000.0,-0.0008244736823855612
reward_perturb,1.0,5495.001011552749,1000.0,-0.002166484831411831
